168|สำนักศาลยุติธรรมประจำภาค 6 (พิษณุโลก)
169|ศาลแขวงนครปฐม
170|ศาลแขวงราชบุรี
171|ศาลแขวงสุพรรณบุรี
172|ศาลจังหวัดกาญจนบุรี
173|ศาลจังหวัดทองผาภูมิ
174|ศาลจังหวัดนครปฐม
175|ศาลจังหวัดประจวบคีรีขันธ์
176|ศาลจังหวัดหัวหิน
177|ศาลจังหวัดเพชรบุรี
178|ศาลจังหวัดราชบุรี
179|ศาลจังหวัดสมุทรสงคราม
180|ศาลจังหวัดสมุทรสาคร
181|ศาลจังหวัดสุพรรณบุรี
182|ศาลเยาวชนและครอบครัวจังหวัดกาญจนบุรี
183|ศาลเยาวชนและครอบครัวจังหวัดนครปฐม
184|ศาลเยาวชนและครอบครัวจังหวัดประจวบคีรีขันธ์
185|ศาลเยาวชนและครอบครัวจังหวัดเพชรบุรี
186|ศาลเยาวชนและครอบครัวจังหวัดราชบุรี
187|ศาลเยาวชนและครอบครัวจังหวัดสมุทรสงคราม
188|ศาลเยาวชนและครอบครัวจังหวัดสมุทรสาคร
189|ศาลเยาวชนและครอบครัวจังหวัดสุพรรณบุรี
190|สำนักศาลยุติธรรมประจำภาค 7 (นครปฐม)
191|ศาลแขวงนครศรีธรรมราช
192|ศาลแขวงสุราษฎร์ธานี
193|ศาลแขวงทุ่งสง
194|ศาลจังหวัดกระบี่
195|ศาลจังหวัดชุมพร
196|ศาลจังหวัดหลังสวน
197|ศาลจังหวัดนครศรีธรรมราช
198|ศาลจังหวัดทุ่งสง
199|ศาลจังหวัดปากพนัง
200|ศาลจังหวัดพังงา
201|ศาลจังหวัดตะกั่วป่า
202|ศาลแขวงภูเก็ต
203|ศาลจังหวัดภูเก็ต
204|ศาลจังหวัดระนอง
205|ศาลจังหวัดสุราษฎร์ธานี
206|ศาลจังหวัดเกาะสมุย
207|ศาลจังหวัดไชยา
208|ศาลจังหวัดเวียงสระ
209|ศาลเยาวชนและครอบครัวจังหวัดกระบี่
210|ศาลเยาวชนและครอบครัวจังหวัดชุมพร
211|ศาลเยาวชนและครอบครัวจังหวัดนครศรีธรรมราช
212|ศาลเยาวชนและครอบครัวจังหวัดภูเก็ต
213|ศาลเยาวชนและครอบครัวจังหวัดระนอง
214|ศาลเยาวชนและครอบครัวจังหวัดสุราษฎร์ธานี
215|ศาลเยาวชนและครอบครัวจังหวัดพังงา
216|สำนักศาลยุติธรรมประจำภาค 8 (สุราษฎร์ธานี)
217|ศาลแขวงสงขลา
218|ศาลจังหวัดตรัง
219|ศาลจังหวัดนราธิวาส
220|ศาลจังหวัดปัตตานี
221|ศาลจังหวัดพัทลุง
222|ศาลจังหวัดยะลา
223|ศาลจังหวัดเบตง
224|ศาลจังหวัดสงขลา
225|ศาลจังหวัดนาทวี
226|ศาลจังหวัดสตูล
227|ศาลเยาวชนและครอบครัวจังหวัดตรัง
228|ศาลเยาวชนและครอบครัวจังหวัดนราธิวาส
229|ศาลเยาวชนและครอบครัวจังหวัดปัตตานี
230|ศาลเยาวชนและครอบครัวจังหวัดพัทลุง
231|ศาลเยาวชนและครอบครัวจังหวัดยะลา
232|ศาลเยาวชนและครอบครัวจังหวัดสงขลา
233|ศาลเยาวชนและครอบครัวจังหวัดสตูล
234|สำนักศาลยุติธรรมประจำภาค 9 (สงขลา)
235|ศาลฎีกา
236|ศาลอุทธรณ์
237|ศาลอุทธรณ์คดีชำนัญพิเศษ
238|ศาลอุทธรณ์ภาค 1 (กรุงเทพฯ)
239|ศาลอุทธรณ์ภาค 2 (ระยอง)
240|ศาลอุทธรณ์ภาค 3 (นครราชสีมา)
241|ศาลอุทธรณ์ภาค 4 (ขอนแก่น)
242|ศาลอุทธรณ์ภาค 5 (เชียงใหม่)
243|ศาลอุทธรณ์ภาค 6 (นครสวรรค์)
244|ศาลอุทธรณ์ภาค 7 (กรุงเทพฯ)
245|ศาลอุทธรณ์ภาค 8 (ภูเก็ต)
246|ศาลอุทธรณ์ภาค 9 (กรุงเทพฯ)
247|ศาลอาญา
248|ศาลอาญากรุงเทพใต้
249|ศาลอาญาธนบุรี
250|ศาลแพ่ง
251|ศาลแพ่งกรุงเทพใต้
252|ศาลแพ่งธนบุรี
253|ศาลทรัพย์สินทางปัญญาฯ
254|ศาลภาษีอากรกลาง
255|ศาลล้มละลายกลาง
256|ศาลเยาวชนและครอบครัวกลาง
257|ศาลเยาวชนและครอบครัวกลาง (มีนบุรี)
258|ศาลแรงงานกลาง (กรุงเทพฯ)
259|ศาลแรงงานภาค 1 (สระบุรี และ พระนครศรีอยุธยา)
260|ศาลแรงงานภาค 2 (ชลบุรี และ ระยอง)
261|ศาลแรงงานภาค 3 (นครราชสีมา)
262|ศาลแรงงานภาค 4 (อุดรธานี)
263|ศาลแรงงานภาค 5 (เชียงใหม่)
264|ศาลแรงงานภาค 6 (นครสวรรค์)
265|ศาลแรงงานภาค 7 (กาญจนบุรี)
266|ศาลแรงงานภาค 8 (ภูเก็ต)
267|ศาลแรงงานภาค 9 (สงขลา)
268|ศาลอาญาคดีทุจริตและประพฤติมิชอบกลาง (กรุงเทพฯ)
269|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 1 (สระบุรี)
270|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 2 (ระยอง)
271|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 3 (สุรินทร์)
272|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 4 (ขอนแก่น)
273|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 5 (เชียงใหม่)
274|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 6 (พิษณุโลก)
275|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 7 (สมุทรสงคราม)
276|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 8 (นครศรีฯ)
277|ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 9 (สงขลา)
278|ศาลจังหวัดแม่ฮ่องสอน สาขาปาย
279|ศาลจังหวัดน่าน สาขาปัว
280|ศาลแขวงบางบอน
281|ศาลแขวงเชียงราย
282|สำนักกฎหมายและวิชาการศาลยุติธรรม
283|สำนักเทคโนโลยีสารสนเทศ
284|สำนักส่งเสริมงานตุลาการ
285|ศาลจังหวัดเชียงราย สาขาเวียงป่าเป้า
286|ศาลแพ่งตลิ่งชัน
287|ศาลอาญาตลิ่งชัน
288|ศาลแพ่งพระโขนง
289|ศาลอาญาพระโขนง
290|ศาลแพ่งมีนบุรี
291|ศาลอาญามีนบุรี
292|ศาลจังหวัดมหาสารคาม สาขาพยัคฆภูมิพิสัย
293|ศาลจังหวัดพิษณุโลก สาขานครไทย
294|ศาลเยาวชนและครอบครัวจังหวัดยะลา (เบตง)
295|ศาลแขวงเชียงดาว
296|ศาลแขวงกระบี่
297|ศาลแขวงตรัง
